"term" "freq"
"a clean" 462
"a cleaning" 64
"a clear" 591
"a clever" 135
"a client" 446
"a cliff" 146
"a clinic" 67
"a clip" 119
"a clock" 79
"a close" 760
"a closed" 107
"a closer" 202
"a closet" 135
"a cloud" 195
"a cloudy" 68
"a clown" 168
"a club" 298
"a clue" 326
"a clutch" 61
"a co" 283
"a coach" 240
"a coalition" 55
"a coat" 160
"a code" 144
"a coffee" 538
"a coin" 78
"a coincidence" 149
"a coke" 98
"a cold" 1114
"a collaboration" 62
"a collaborative" 68
"a collage" 55
"a colleague" 129
"a collection" 426
"a collective" 111
"a college" 453
"a colour" 62
"a column" 70
"a coma" 92
"a combination" 436
"a combined" 89
"a combo" 109
"a come" 84
"a comeback" 215
"a comedian" 86
"a comedy" 184
"a comfort" 55
"a comfortable" 154
"a comic" 151
"a coming" 57
"a comment" 1338
"a commercial" 422
"a commission" 52
"a commitment" 129
"a committee" 74
"a common" 502
"a community" 518
"a companion" 55
"a company" 647
"a comparison" 67
"a compelling" 85
"a competition" 151
"a competitive" 108
"a complaint" 121
"a complete" 963
"a completely" 328
"a complex" 175
"a complicated" 87
"a compliment" 268
"a complimentary" 109
"a comprehensive" 97
"a compromise" 72
"a computer" 647
"a concept" 160
"a concern" 100
"a concert" 434
"a conclusion" 51
"a concrete" 74
"a concussion" 80
"a condition" 106
"a condo" 51
"a cone" 52
"a conference" 434
"a confession" 70
"a confirmation" 52
"a conflict" 96
"a connection" 169
"a conscious" 79
"a consequence" 82
"a considerable" 75
"a consistent" 96
"a constant" 314
"a constitutional" 78
"a construction" 64
"a consultant" 71
"a consumer" 85
"a contact" 144
"a container" 104
"a contemporary" 75
"a contender" 52
"a content" 51
"a contest" 288
"a continuous" 70
"a contract" 285
"a contractor" 62
"a control" 52
"a controversial" 66
"a convenient" 64
"a conversation" 705
"a convo" 96
"a cook" 70
"a cookbook" 58
"a cookie" 354
"a cooking" 85
"a cool" 1130
"a cooler" 66
"a cooling" 51
"a cop" 257
"a copy" 1323
"a core" 68
"a corn" 58
"a corner" 299
"a corporate" 129
"a cost" 103
"a costume" 93
"a cotton" 55
"a couch" 118
"a counter" 65
"a country" 588
"a county" 63
"a couple" 9323
"a coupon" 171
"a course" 242
"a court" 189
"a cousin" 72
"a cover" 376
"a cow" 172
"a coward" 73
"a cowboy" 98
"a coworker" 71
"a cozy" 77
"a crab" 56
"a craft" 191
"a craving" 83
"a crazy" 920
"a cream" 80
"a creative" 373
"a creature" 76
"a credit" 215
"a creep" 76
"a creeper" 55
"a creepy" 101
"a crew" 101
"a crisis" 151
"a crisp" 107
"a critical" 183
"a critique" 52
"a cross" 300
"a crowd" 279
"a crowded" 85
"a crown" 88
"a crucial" 103
"a cruel" 86
"a cruise" 154
"a crush" 304
"a cry" 59
"a cubs" 57
"a cult" 86
"a cultural" 90
"a culture" 208
"a cup" 989
"a cupcake" 208
"a cure" 219
"a curious" 88
"a current" 108
"a curse" 128
"a custom" 224
"a customer" 346
"a cut" 223
"a cute" 870
"a cutie" 190
"a cutting" 73
"a d" 518
"a dad" 131
"a daddy" 56
"a daily" 586
"a damp" 56
"a dance" 371
"a dancer" 110
"a danger" 76
"a dangerous" 216
"a dark" 637
"a darker" 71
"a dash" 165
"a data" 85
"a database" 72
"a date" 939
"a daughter" 219
"a day" 6871
"a days" 184
"a dc" 55
"a de" 53
"a deadline" 111
"a deadly" 93
"a deal" 754
"a dealer" 76
"a dear" 184
"a debate" 154
"a debt" 60
"a decade" 527
"a decent" 764
"a decision" 501
"a dedicated" 121
"a deep" 856
"a deeper" 165
"a deer" 81
"a defense" 93
"a defensive" 72
"a deficit" 57
"a definite" 190
"a degree" 433
"a delay" 67
"a delicate" 84
"a delicious" 501
"a delight" 99
"a delightful" 148
"a delivery" 67
"a demo" 143
"a democracy" 69
"a democrat" 127
"a democratic" 87
"a demonstration" 71
"a dent" 57
"a dentist" 68
"a department" 65
"a description" 104
"a desert" 86
"a design" 243
"a designated" 61
"a designer" 162
"a desk" 150
"a desperate" 101
"a dessert" 95
"a destination" 129
"a detailed" 117
"a detour" 53
"a developer" 61
"a device" 92
"a diamond" 121
"a diaper" 95
"a diary" 71
"a dictionary" 61
"a diet" 276
"a diff" 97
"a difference" 1346
"a different" 2823
"a difficult" 351
"a digi" 57
"a digital" 336
"a dime" 190
"a dinner" 277
"a dinosaur" 62
"a dip" 61
"a direct" 461
"a directioner" 70
"a director" 122
"a disability" 51
"a disappointment" 85
"a disaster" 223
"a discount" 382
"a discussion" 280
"a disgrace" 81
"a dish" 141
"a disney" 109
"a display" 68
"a distance" 214
"a distant" 125
"a distinct" 128
"a distraction" 84
"a district" 68
"a diverse" 88
"a division" 65
"a divorce" 139
"a dj" 168
"a dm" 502
"a do" 188
"a doc" 63
"a doctor" 492
"a doctor's" 55
"a document" 84
"a documentary" 226
"a dog" 1219
"a doll" 146
"a dollar" 415
"a dolphin" 53
"a domestic" 63
"a don't" 90
"a donation" 235
"a done" 58
"a donut" 92
"a door" 257
"a dork" 117
"a dose" 86
"a double" 923
"a doubt" 281
"a douche" 186
"a douchebag" 70
"a down" 185
"a dozen" 692
"a dr" 107
"a draft" 116
"a drag" 108
"a dragon" 87
"a drama" 86
"a dramatic" 146
"a draw" 105
"a drawer" 76
"a drawing" 140
"a dream" 1783
"a dreamer" 65
"a dress" 480
"a drink" 1227
"a drinking" 87
"a drive" 257
"a driver" 122
"a driving" 64
"a drop" 227
"a drum" 88
"a drummer" 87
"a dry" 215
"a dual" 75
"a duck" 150
"a dude" 378
"a duet" 71
"a dull" 173
"a dummy" 53
"a dump" 88
"a dutch" 70
"a duty" 76
"a dvd" 141
"a dying" 72
"a dynamic" 81
"a e" 143
"a email" 62
"a end" 78
"a era" 88
"a even" 57
"a event" 54
"a extra" 55
"a eye" 111
"a f" 218
"a fab" 217
"a fabric" 67
"a fabulous" 900
"a face" 332
"a facebook" 448
"a fact" 357
"a factor" 151
"a factory" 72
"a fail" 73
"a faint" 66
"a fair" 633
"a fairly" 392
"a faithful" 55
"a fake" 373
"a fall" 144
"a false" 166
"a familiar" 107
"a family" 1768
"a famous" 206
"a fan" 2741
"a fancy" 246
"a fantastic" 1385
"a fantasy" 195
"a far" 284
"a farm" 195
"a farmer" 70
"a fascinating" 222
"a fashion" 238
"a fast" 321
"a faster" 78
"a fatal" 57
"a father" 261
"a faux" 60
"a fav" 65
"a fave" 53
"a favor" 438
"a favorite" 698
"a favourite" 102
"a fb" 138
"a feast" 86
"a feather" 92
"a feature" 300
"a federal" 251
"a fee" 121
"a feel" 131
"a feeling" 938
"a fellow" 450
"a felony" 63
"a female" 556
"a feminist" 55
"a fence" 76
"a festival" 97
"a fever" 184
"a few" 25230
"a fictional" 65
"a field" 402
"a fierce" 56
"a fifth" 90
"a fighter" 84
"a figure" 94
"a file" 91
"a film" 675
"a final" 486
"a finalist" 76
"a financial" 144
"a fine" 873
"a finger" 135
"a finish" 63
"a finished" 61
"a firm" 247
"a first" 1037
"a fish" 325
"a fist" 101
"a fit" 162
"a fitness" 99
"a fitting" 73
"a five" 342
"a fix" 72
"a fixed" 66
"a flag" 88
"a flame" 52
"a flash" 247
"a flashback" 53
"a flashlight" 54
"a flat" 341
"a flea" 51
"a flight" 319
"a flip" 87
"a flood" 89
"a floor" 75
"a florida" 57
"a flower" 255
"a flurry" 55
"a fly" 174
"a flyer" 53
"a flying" 118
"a focus" 145
"a folder" 57
"a follow" 1192
"a followback" 60
"a follower" 426
"a following" 82
"a food" 585
"a fool" 624
"a foot" 411
"a football" 274
"a for" 990
"a force" 155
"a ford" 82
"a foreign" 264
"a forest" 118
"a fork" 292
"a form" 387
"a formal" 143
"a former" 742
"a fortune" 178
"a forum" 86
"a foul" 172
"a foundation" 79
"a four" 394
"a fourth" 144
"a fox" 92
"a fraction" 135
"a frame" 123
"a franchise" 63
"a freak" 227
"a freakin" 110
"a freaking" 189
"a free" 3395
"a freebie" 85
"a freelance" 97
"a french" 328
"a frequent" 74
"a fresh" 672
"a freshman" 152
"a friday" 635
"a fridge" 54
"a fried" 60
"a friend" 3933
"a friend's" 222
"a friendly" 254
"a friends" 169
"a friendship" 100
"a frog" 85
"a from" 220
"a front" 165
"a frozen" 88
"a fruit" 202
"a frying" 57
"a ft" 74
"a full" 2677
"a fully" 121
"a fun" 2851
"a function" 76
"a fundamental" 65
"a fundraiser" 132
"a funky" 70
"a funny" 593
"a further" 174
"a future" 516
"a g" 310
"a gal" 66
"a galaxy" 51
"a gallery" 91
"a gallon" 231
"a game" 2679
"a gang" 102
"a gap" 67
"a garage" 161
"a garbage" 64
"a garden" 270
"a gas" 215
"a gate" 53
"a gathering" 79
"a gazillion" 59
"a geek" 90
"a gem" 130
"a general" 354
"a generation" 157
"a generic" 61
"a generous" 160
"a genius" 398
"a genre" 75
"a gentle" 182
"a gentleman" 167
"a genuine" 142
"a get" 216
"a gf" 84
"a ghost" 277
"a giant" 792
"a gift" 1734
"a gig" 190
"a gigantic" 88
"a ginger" 97
"a giraffe" 59
"a girl" 3290
"a girl's" 99
"a girlfriend" 287
"a give" 53
"a giveaway" 265
"a given" 256
"a glance" 71
"a glass" 1019
"a glimpse" 307
"a global" 256
"a glorious" 188
"a glove" 56
"a gluten" 59
"a gm" 52
"a go" 595
"a goal" 608
"a goat" 93
"a goddess" 59
"a going" 75
"a gold" 254
"a golden" 223
"a golf" 153
"a good" 25905
"a goodnight" 78
"a google" 271
"a gorgeous" 600
"a got" 70
"a government" 240
"a gps" 63
"a gr" 213
"a grad" 89
"a grade" 92
"a graduate" 106
"a graduation" 72
"a grain" 73
"a grammy" 74
"a grand" 366
"a grant" 109
"a graphic" 132
"a grave" 56
"a gray" 87
"a greased" 67
"a great" 30797
"a greater" 278
"a greek" 83
"a green" 467
"a grey" 87
"a grill" 54
"a grilled" 102
"a grip" 95
"a grocery" 108
"a ground" 55
"a group" 1718
"a growing" 233
"a grown" 295
"a grudge" 55
"a guard" 70
"a gud" 51
"a guess" 103
"a guest" 614
"a guide" 158
"a guilty" 66
"a guitar" 180
"a gut" 51
"a guy" 2612
"a guys" 60
"a gym" 173
"a h" 83
"a habit" 314
"a had" 64
"a haha" 76
"a hair" 261
"a haircut" 266
"a half" 2534
"a hall" 67
"a halloween" 100
"a halt" 78
"a ham" 52
"a hamburger" 54
"a hammer" 111
"a hand" 595
"a handful" 612
"a handle" 86
"a handmade" 54
"a handsome" 94
"a handy" 74
"a hangover" 145
"a happier" 62
"a happy" 2658
"a hard" 1739
"a harsh" 56
"a has" 111
"a hashtag" 138
"a hassle" 56
"a hat" 349
"a hate" 71
"a hater" 219
"a have" 99
"a hawk" 55
"a he" 223
"a head" 460
"a headache" 440
"a heads" 131
"a health" 185
"a healthier" 98
"a healthy" 800
"a heap" 55
"a hearing" 118
"a heart" 1043
"a heartbeat" 119
"a hearty" 97
"a heat" 173
"a heated" 67
"a heavy" 389
"a heck" 102
"a hectic" 61
"a hefty" 67
"a helicopter" 116
"a hello" 93
"a helluva" 70
"a helmet" 93
"a helpful" 76
"a helping" 52
"a hero" 263
"a hey" 99
"a hi" 64
"a hidden" 119
"a high" 1570
"a higher" 532
"a highlight" 85
"a highly" 225
"a hike" 114
"a hilarious" 103
"a hill" 156
"a hint" 468
"a hip" 116
"a hippie" 55
"a hipster" 124
"a historic" 79
"a historical" 111
"a history" 309
"a hit" 715
"a hobby" 129
"a hockey" 147
"a hoe" 345
"a hold" 218
"a holiday" 450
"a hollywood" 57
"a hologram" 52
"a holy" 97
"a home" 1259
"a homeless" 215
"a homemade" 94
"a honey" 61
"a hoodie" 113
"a hoot" 129
"a hop" 72
"a hope" 81
"a hopeless" 79
"a horrible" 526
"a horror" 163
"a horse" 477
"a hospital" 324
"a host" 198
"a hot" 1557
"a hotel" 423
"a hottie" 62
"a hour" 738
"a house" 1245
"a household" 75
"a how" 178
"a hr" 198
"a hug" 538
"a huge" 4793
"a human" 632
"a humble" 65
"a hundred" 532
"a hunger" 60
"a hungry" 71
"a hurricane" 107
"a hurry" 209
"a husband" 173
"a hybrid" 74
"a hypocrite" 71
"a i" 1786
"a i'm" 251
"a idea" 54
"a if" 327
"a im" 56
"a in" 1537
"a inch" 259
"a increase" 57
"a interview" 56
"a iphone" 61
"a is" 612
"a it" 232
"a it's" 177
"a j" 172
"a jack" 83
"a jacket" 141
"a jam" 107
"a jar" 211
"a jazz" 72
"a jealous" 60
"a jerk" 284
"a jersey" 98
"a jet" 129
"a job" 2801
"a john" 74
"a joke" 1385
"a journal" 158
"a journalist" 141
"a journey" 307
"a joy" 266
"a joyful" 65
"a joyous" 52
"a judge" 262
"a jump" 130
"a junior" 172
"a jury" 103
"a just" 319
"a k" 590
"a keen" 78
"a keeper" 130
"a keg" 69
"a key" 487
"a keyboard" 79
"a kick" 344
"a kidney" 61
"a kids" 91
"a kind" 892
"a kindle" 201
"a king" 214
"a kiss" 393
"a kit" 83
"a kitchen" 182
"a kite" 74
"a kitten" 99
"a knack" 52
"a knee" 84
"a knock" 77
"a knot" 80
"a known" 95
"a l" 149
"a la" 359
"a lab" 80
"a label" 114
"a labor" 84
"a lack" 404
"a ladder" 79
"a lady" 576
"a lake" 106
"a laker" 73
"a lakers" 52
"a lamb" 51
"a lame" 120
"a lamp" 83
"a land" 143
"a landscape" 60
"a language" 130
"a lap" 76
"a laptop" 194
"a large" 3096
"a larger" 481
"a laser" 58
"a last" 399
"a lasting" 57
"a late" 538
"a later" 199
"a latte" 59
"a laugh" 235
"a law" 329
"a lawsuit" 95
"a lawyer" 297
"a layer" 212
"a layout" 125
"a lazy" 283
"a lb" 88
"a lead" 421
"a leader" 442
"a leading" 114
"a leaf" 93
"a league" 112
"a leak" 56
"a leap" 100
"a learning" 137
"a leash" 71
"a leather" 77
"a lecture" 131
"a left" 129
"a leg" 315
"a legacy" 71
"a legal" 235
"a legend" 204
"a legit" 145
"a legitimate" 137
"a leisurely" 56
"a lemon" 144
"a lengthy" 116
"a less" 233
"a lesser" 79
"a lesson" 404
"a let" 73
"a letter" 711
"a level" 256
"a liar" 219
"a librarian" 200
"a library" 322
"a license" 160
"a licensed" 65
"a lid" 90
"a lie" 561
"a life" 1841
"a lifelong" 98
"a lifestyle" 123
"a lifetime" 667
"a lift" 84
"a light" 942
"a lighter" 157
"a lightly" 93
"a like" 300
"a lil" 1160
"a limb" 104
"a limit" 96
"a limited" 339
"a limo" 53
"a line" 786
"a link" 1336
"a lion" 143
"a liquid" 57
"a list" 1321
"a listen" 242
"a literal" 60
"a literary" 128
"a little" 24767
"a live" 677
"a lively" 73
"a living" 728
"a load" 298
"a loaded" 56
"a loaf" 107
"a loan" 98
"a local" 1355
"a location" 129
"a lock" 96
"a log" 83
"a logical" 69
"a logo" 91
"a lol" 217
"a london" 66
"a lone" 86
"a lonely" 133
"a loner" 57
"a long" 8190
"a longer" 218
"a longtime" 100
"a look" 1832
"a looking" 58
"a loop" 131
"a loose" 108
"a losing" 65
"a loss" 479
"a lost" 236
"a lot" 24201
"a lotta" 66
"a lottery" 69
"a loud" 199
"a lousy" 58
"a love" 809
"a loved" 131
"a lovely" 1948
"a lover" 154
"a loving" 211
"a low" 704
"a lower" 236
"a loyal" 104
"a lucky" 276
"a lump" 74
"a lunch" 246
"a luxury" 147
"a m" 2848
"a mac" 195
"a macbook" 80
"a machine" 168
"a made" 77
"a magazine" 253
"a magic" 177
"a magical" 195
"a magician" 51
"a magnet" 57
"a magnificent" 75
"a mahomie" 151
"a main" 121
"a major" 1536
"a majority" 221
"a make" 120
"a makeover" 78
"a male" 280
"a mall" 61
"a man" 5191
"a man's" 288
"a manager" 133
"a mandatory" 58
"a manner" 114
"a manuscript" 53
"a map" 222
"a marathon" 246
"a march" 97
"a margarita" 112
"a marine" 71
"a mark" 123
"a market" 166
"a marketing" 198
"a marriage" 143
"a married" 94
"a martha" 59
"a martini" 70
"a marvelous" 89
"a mask" 95
"a mass" 162
"a massage" 320
"a massive" 608
"a master" 295
"a master's" 70
"a masterpiece" 95
"a masters" 58
"a match" 207
"a matching" 97
"a math" 95
"a matter" 1035
"a maximum" 107
"a may" 80
"a maybe" 58
"a me" 82
"a meal" 402
"a mean" 218
"a meaningful" 81
"a means" 219
"a measure" 114
"a meat" 90
"a medal" 52
"a media" 165
"a medical" 237
"a mediocre" 57
"a medium" 496
"a meet" 133
"a meeting" 789
"a mega" 63
"a member" 997
"a membership" 66
"a memoir" 59
"a memorable" 119
"a memorial" 102
"a memory" 205
"a mental" 283
"a mention" 140
"a mentor" 110
"a menu" 100
"a mere" 287
"a mermaid" 58
"a merry" 149
"a mess" 790
"a message" 1012
"a messy" 79
"a metal" 177
"a metaphor" 109
"a method" 98
"a mf" 74
"a mi" 320
"a miami" 58
"a michael" 54
"a microphone" 62
"a microwave" 93
"a mid" 166
"a middle" 269
"a midget" 72
"a midnight" 71
"a mighty" 118
"a migraine" 78
"a mild" 163
"a mile" 722
"a milestone" 70
"a military" 181
"a milk" 57
"a milkshake" 70
"a million" 1676
"a millionaire" 105
"a min" 503
"a mind" 274
"a mini" 617
"a miniature" 66
"a minimum" 331
"a minister" 56
"a minor" 297
"a minute" 2130
"a miracle" 441
"a mirror" 246
"a miserable" 64
"a miss" 65
"a missed" 62
"a missing" 68
"a mission" 371
"a mistake" 578
"a mix" 448
"a mixed" 146
"a mixer" 71
"a mixing" 78
"a mixtape" 68
"a mixture" 238
"a mm" 77
"a mob" 56
"a mobile" 273
"a mockingbird" 67
"a model" 396
"a moderate" 76
"a modern" 326
"a modest" 95
"a mom" 570
"a moment" 1520
"a mommy" 112
"a monday" 350
"a money" 103
"a monkey" 146
"a monster" 359
"a month" 3130
"a monthly" 161
"a mood" 127
"a moral" 110
"a more" 2149
"a morning" 352
"a mortgage" 77
"a mosquito" 59
"a most" 260
"a mostly" 59
"a mother" 794
"a mother's" 141
"a mothers" 57
"a motion" 54
"a motorcycle" 156
"a mountain" 257
"a mouse" 179
"a mouth" 78
"a move" 343
"a movement" 150
"a movie" 2334
"a moving" 122
"a mr" 57
"a much" 1305
"a muffin" 82
"a mug" 90
"a multi" 217
"a multitude" 108
"a muscle" 95
"a muse" 51
"a museum" 213
"a music" 483
"a musical" 211
"a musician" 129
"a must" 933
"a mustache" 90
"a mutual" 97
"a my" 243
"a myriad" 58
"a mysterious" 111
"a mystery" 325
"a myth" 107
"a n" 196
"a na" 455
"a nail" 130
"a name" 653
"a nap" 1256
"a narrative" 58
"a narrow" 109
"a nation" 347
"a national" 648
"a nationwide" 51
"a native" 167
"a natural" 559
"a nature" 52
"a nd" 280
"a near" 173
"a nearby" 200
"a nearly" 82
"a neat" 159
"a necessary" 120
"a necessity" 95
"a necklace" 88
"a need" 350
"a needle" 78
"a negative" 273
"a neighbor" 129
"a neighborhood" 126
"a nerd" 248
"a nervous" 120
"a nest" 78
"a net" 124
"a network" 174
"a neutral" 80
"a never" 113
"a new" 17941
"a newbie" 62
"a newborn" 119
"a newer" 54
"a newly" 107
"a news" 303
"a newspaper" 158
"a next" 99
"a nice" 5467
"a nicer" 63
"a nickel" 59
"a nickname" 56
"a night" 1494
"a nightmare" 302
"a nine" 67
"a ninja" 137
"a no" 871
"a noble" 61
"a nod" 105
"a noise" 54
"a non" 856
"a nonprofit" 103
"a normal" 568
"a north" 73
"a northern" 54
"a nose" 105
"a not" 327
"a notch" 113
"a note" 589
"a notebook" 92
"a notice" 52
"a novel" 463
"a now" 183
"a nuclear" 107
"a number" 1759
"a nurse" 174
"a nursing" 85
"a nut" 122
"a nutshell" 125
"a ny" 59
"a nyc" 51
"a o" 81
"a of" 1134
"a off" 170
"a oh" 100
"a ok" 70
"a old" 105
"a on" 757
"a once" 127
"a one" 1358
"a or" 544
"a out" 190
"a over" 61
"a oz" 89
"a p" 365
"a pace" 130
"a pack" 431
"a package" 294
"a packed" 119
"a packer" 71
"a packet" 68
"a page" 573
"a paid" 96
"a pain" 430
"a painful" 78
"a paint" 65
"a painter" 66
"a painting" 183
"a pair" 1508
"a pale" 134
"a pan" 199
"a pancake" 52
"a panel" 255
"a panic" 124
"a paper" 706
"a parachute" 54
"a parade" 103
"a paragraph" 52
"a parallel" 59
"a parent" 503
"a park" 206
"a parking" 256
"a parody" 57
"a part" 2523
"a partial" 83
"a particular" 654
"a particularly" 201
"a partner" 203
"a partnership" 74
"a party" 1480
"a pass" 253
"a passage" 52
"a passenger" 63
"a passing" 92
"a passion" 298
"a passport" 58
"a password" 58
"a past" 136
"a paste" 55
"a pastor" 77
"a pastry" 86
"a pat" 54
"a patch" 63
"a patent" 92
"a path" 200
"a patient" 151
"a patio" 60
"a patron" 52
"a pattern" 264
"a pay" 103
"a payment" 54
"a pc" 101
"a pdf" 103
"a peace" 98
"a peaceful" 158
"a peak" 71
"a peanut" 85
"a pearl" 64
"a pedicure" 78
"a peek" 224
"a peep" 54
"a pen" 208
"a penalty" 108
"a pencil" 135
"a penny" 154
"a people" 191
"a per" 58
"a percent" 231
"a percentage" 85
"a perfect" 1892
"a perfectionist" 63
"a perfectly" 208
"a performance" 189
"a permanent" 255
"a permit" 53
"a person" 2585
"a person's" 148
"a personal" 865
"a personality" 88
"a persons" 58
"a pet" 307
"a petition" 93
"a phase" 66
"a phd" 79
"a phenomenal" 93
"a phone" 912
"a photo" 1290
"a photograph" 146
"a photographer" 202
"a photoshoot" 78
"a phrase" 109
"a physical" 211
"a piano" 99
"a pic" 1073
"a pick" 165
"a pickle" 76
"a pickup" 53
"a picnic" 186
"a picture" 2655
"a pie" 108
"a piece" 1968
"a pig" 164
"a pile" 299
"a pill" 85
"a pillow" 169
"a pilot" 121
"a pin" 86
"a pinch" 219
"a pink" 312
"a pint" 317
"a pipe" 84
"a pirate" 136
"a pit" 110
"a pitch" 146
"a pitcher" 129
"a pity" 88
"a pizza" 290
"a place" 2617
"a plain" 160
"a plan" 1158
"a plane" 597
"a planet" 92
"a planned" 56
"a plant" 157
"a plastic" 266
"a plate" 360
"a platform" 155
"a play" 509
"a player" 479
"a playlist" 56
"a playoff" 213
"a plea" 70
"a pleasant" 261
"a please" 62
"a pleasure" 634
"a plethora" 77
"a plot" 130
"a plug" 58
"a plus" 228
"a pm" 106
