"term" "freq"
"a direct message" 122
"a discount on" 85
"a discussion about" 56
"a discussion of" 53
"a dm with" 57
"a dog and" 80
"a dollar for" 54
"a donation to" 71
"a dose of" 73
"a dream about" 125
"a dream and" 62
"a dream come" 121
"a dream i" 130
"a dream last" 80
"a dream that" 193
"a drink and" 104
"a drink or" 75
"a drink with" 71
"a drop in" 70
"a drop of" 65
"a dull moment" 76
"a fabulous day" 110
"a fabulous weekend" 67
"a face to" 55
"a facebook page" 82
"a fact that" 64
"a factor in" 51
"a fair amount" 116
"a fair bit" 53
"a family and" 83
"a family member" 109
"a family of" 167
"a fan and" 76
"a fan but" 56
"a fan i" 107
"a fan of" 1279
"a fan since" 60
"a fantastic day" 136
"a fantastic job" 75
"a fantastic time" 64
"a fantastic weekend" 92
"a far more" 58
"a fashion show" 55
"a favor and" 166
"a favorite of" 74
"a feature film" 51
"a feel for" 60
"a feeling of" 141
"a feeling that" 169
"a few and" 78
"a few beers" 67
"a few blocks" 100
"a few bucks" 61
"a few but" 52
"a few changes" 55
"a few days" 1986
"a few different" 120
"a few drinks" 66
"a few drops" 74
"a few extra" 121
"a few feet" 68
"a few friends" 106
"a few good" 127
"a few hours" 1031
"a few hundred" 105
"a few i" 81
"a few ideas" 71
"a few in" 56
"a few inches" 60
"a few items" 55
"a few miles" 102
"a few minutes" 1179
"a few moments" 169
"a few months" 938
"a few more" 1223
"a few new" 162
"a few nights" 57
"a few of" 1217
"a few other" 294
"a few others" 95
"a few people" 315
"a few photos" 100
"a few pics" 63
"a few pictures" 135
"a few pieces" 66
"a few questions" 110
"a few seconds" 209
"a few short" 115
"a few shots" 66
"a few steps" 60
"a few that" 75
"a few things" 663
"a few times" 753
"a few tips" 53
"a few to" 66
"a few weeks" 1586
"a few words" 122
"a few years" 1284
"a field trip" 105
"a film that" 64
"a fine line" 82
"a firm believer" 55
"a first for" 70
"a first time" 81
"a five year" 98
"a flat tire" 52
"a flight to" 69
"a flurry of" 52
"a focus on" 69
"a follow back" 353
"a follow from" 75
"a follow up" 124
"a follower of" 94
"a food processor" 185
"a fool of" 54
"a for a" 102
"a for the" 105
"a fork in" 51
"a form of" 282
"a four year" 64
"a fraction of" 120
"a free agent" 53
"a free copy" 82
"a free download" 53
"a fresh start" 81
"a friday night" 201
"a friend and" 200
"a friend for" 74
"a friend from" 53
"a friend i" 99
"a friend in" 153
"a friend is" 106
"a friend of" 555
"a friend or" 85
"a friend that" 78
"a friend to" 154
"a friend who" 311
"a frying pan" 54
"a full blown" 58
"a full day" 145
"a full house" 61
"a full moon" 90
"a full on" 61
"a full time" 294
"a fun and" 155
"a fun day" 189
"a fun filled" 57
"a fun little" 56
"a fun night" 170
"a fun one" 64
"a fun show" 51
"a fun time" 166
"a fun way" 77
"a fun weekend" 88
"a funny thing" 69
"a gallon of" 80
"a game and" 85
"a game changer" 61
"a game for" 51
"a game i" 66
"a game in" 85
"a game of" 247
"a game that" 69
"a game with" 63
"a garage sale" 80
"a gas station" 90
"a gift and" 64
"a gift card" 263
"a gift certificate" 182
"a gift for" 119
"a gift from" 147
"a gift of" 58
"a gift to" 99
"a girl and" 120
"a girl can" 83
"a girl i" 114
"a girl in" 97
"a girl is" 94
"a girl that" 144
"a girl to" 90
"a girl who" 235
"a girl with" 108
"a glass of" 608
"a glimpse of" 206
"a go at" 67
"a good amount" 77
"a good and" 87
"a good bit" 57
"a good book" 238
"a good cause" 115
"a good chance" 125
"a good choice" 93
"a good day" 2090
"a good deal" 180
"a good enough" 63
"a good example" 137
"a good excuse" 68
"a good feeling" 149
"a good fit" 112
"a good friday" 67
"a good friend" 370
"a good game" 184
"a good girl" 109
"a good guy" 113
"a good idea" 1108
"a good job" 401
"a good laugh" 169
"a good life" 77
"a good long" 51
"a good look" 182
"a good man" 131
"a good mood" 284
"a good morning" 150
"a good movie" 219
"a good night" 626
"a good night's" 68
"a good number" 53
"a good old" 65
"a good one" 1161
"a good or" 66
"a good person" 115
"a good place" 266
"a good plan" 69
"a good point" 90
"a good question" 97
"a good read" 81
"a good reason" 134
"a good run" 79
"a good show" 174
"a good sign" 212
"a good song" 95
"a good start" 276
"a good story" 123
"a good team" 80
"a good thing" 1311
"a good time" 1472
"a good trip" 63
"a good way" 614
"a good week" 246
"a good weekend" 384
"a good word" 57
"a good workout" 79
"a good year" 108
"a google search" 54
"a gorgeous day" 135
"a grain of" 55
"a graphic designer" 60
"a great addition" 80
"a great and" 137
"a great article" 71
"a great big" 101
"a great birthday" 108
"a great book" 145
"a great cause" 174
"a great christmas" 59
"a great conference" 74
"a great conversation" 68
"a great day" 3556
"a great deal" 623
"a great dinner" 75
"a great easter" 70
"a great evening" 136
"a great event" 260
"a great example" 98
"a great experience" 154
"a great feeling" 107
"a great first" 84
"a great friday" 143
"a great friend" 120
"a great game" 227
"a great gift" 97
"a great group" 134
"a great guy" 109
"a great holiday" 115
"a great idea" 492
"a great job" 712
"a great little" 69
"a great lunch" 77
"a great man" 64
"a great many" 63
"a great meeting" 114
"a great monday" 106
"a great mood" 62
"a great morning" 81
"a great mother's" 55
"a great movie" 155
"a great new" 162
"a great night" 659
"a great one" 399
"a great opportunity" 143
"a great person" 74
"a great piece" 54
"a great place" 376
"a great player" 55
"a great price" 58
"a great read" 59
"a great resource" 88
"a great rest" 63
"a great run" 69
"a great saturday" 52
"a great season" 153
"a great sense" 58
"a great session" 55
"a great show" 503
"a great song" 120
"a great start" 257
"a great story" 138
"a great success" 91
"a great summer" 84
"a great sunday" 85
"a great talk" 54
"a great team" 97
"a great thanksgiving" 80
"a great thing" 115
"a great time" 2465
"a great tool" 76
"a great trip" 108
"a great turnout" 56
"a great way" 814
"a great week" 798
"a great weekend" 2121
"a great workout" 83
"a great year" 162
"a grilled cheese" 62
"a grocery store" 63
"a group of" 984
"a grown man" 113
"a grown up" 107
"a guest designer" 52
"a guest on" 77
"a guest post" 57
"a guide to" 53
"a guy and" 55
"a guy i" 73
"a guy in" 141
"a guy like" 75
"a guy named" 75
"a guy on" 56
"a guy that" 128
"a guy to" 61
"a guy who" 375
"a guy with" 110
"a habit of" 118
"a hair cut" 68
"a half a" 53
"a half ago" 62
"a half day" 68
"a half dozen" 68
"a half hour" 245
"a half hours" 119
"a half marathon" 61
"a half men" 54
"a half of" 98
"a half to" 51
"a half years" 110
"a hand in" 65
"a handful of" 521
"a happy and" 135
"a happy birthday" 454
"a happy camper" 72
"a happy day" 52
"a happy easter" 62
"a happy ending" 83
"a happy hour" 73
"a happy life" 66
"a happy mother's" 74
"a happy new" 130
"a happy thanksgiving" 61
"a hard time" 763
"a head start" 70
"a heads up" 127
"a heart of" 57
"a heck of" 94
"a high five" 73
"a high level" 76
"a high of" 53
"a high school" 236
"a higher level" 51
"a hint of" 295
"a hip hop" 62
"a history of" 149
"a hockey game" 52
"a hold of" 162
"a home and" 60
"a home for" 62
"a home in" 85
"a home run" 101
"a homeless man" 58
"a horror movie" 59
"a host of" 146
"a hot day" 60
"a hot dog" 113
"a hot mess" 96
"a hot summer" 52
"a hot tub" 52
"a hotel room" 76
"a house and" 58
"a house in" 99
"a house party" 52
"a house that" 51
"a house with" 55
"a how to" 56
"a hug and" 63
"a huge amount" 75
"a huge difference" 117
"a huge fan" 487
"a huge hit" 59
"a huge part" 97
"a huge success" 149
"a huge thank" 116
"a huge thanks" 54
"a human being" 160
"a hundred years" 54
"a i am" 75
"a i don't" 68
"a i have" 94
"a i just" 57
"a i love" 84
"a i think" 85
"a i was" 58
"a if you" 117
"a in a" 122
"a in my" 132
"a in the" 408
"a is a" 57
"a jar of" 80
"a job and" 145
"a job as" 71
"a job at" 98
"a job for" 71
"a job i" 119
"a job in" 156
"a job interview" 76
"a job that" 99
"a job to" 67
"a job well" 61
"a job with" 51
"a joke about" 56
"a joke and" 64
"a joke i" 89
"a journey of" 57
"a joy to" 122
"a k a" 206
"a key to" 51
"a kick out" 97
"a kind of" 485
"a kiss on" 58
"a lack of" 386
"a large bowl" 319
"a large group" 60
"a large mixing" 64
"a large number" 110
"a large part" 69
"a large skillet" 91
"a last minute" 147
"a late night" 172
"a later date" 65
"a law that" 51
"a layer of" 165
"a lazy day" 52
"a lead in" 62
"a leader in" 53
"a less than" 62
"a lesson in" 62
"a letter from" 94
"a letter to" 147
"a level of" 74
"a life changing" 53
"a life of" 253
"a life that" 61
"a lifetime of" 95
"a light bulb" 59
"a lil bit" 163
"a limited time" 80
"a line of" 147
"a link for" 56
"a link to" 615
"a list of" 913
"a little about" 141
"a little after" 69
"a little and" 207
"a little at" 84
"a little behind" 55
"a little better" 296
"a little bit" 2618
"a little boy" 141
"a little break" 73
"a little but" 115
"a little closer" 70
"a little crazy" 107
"a little different" 185
"a little disappointed" 78
"a little early" 92
"a little easier" 79
"a little extra" 132
"a little fun" 81
"a little further" 65
"a little girl" 331
"a little hard" 56
"a little help" 111
"a little i" 128
"a little in" 88
"a little late" 260
"a little later" 86
"a little less" 258
"a little like" 147
"a little longer" 170
"a little love" 55
"a little more" 1462
"a little nervous" 144
"a little of" 205
"a little off" 80
"a little on" 149
"a little out" 67
"a little over" 279
"a little piece" 52
"a little sad" 109
"a little slow" 63
"a little something" 225
"a little thing" 56
"a little time" 177
"a little tired" 51
"a little to" 158
"a little too" 638
"a little water" 68
"a little weird" 65
"a little when" 70
"a little while" 497
"a little work" 57
"a little worried" 68
"a load of" 225
"a loaf of" 60
"a long and" 141
"a long day" 765
"a long history" 55
"a long line" 76
"a long list" 81
"a long long" 167
"a long night" 177
"a long shot" 70
"a long story" 88
"a long term" 176
"a long time" 2689
"a long walk" 84
"a long way" 627
"a long week" 141
"a long weekend" 135
"a long while" 97
"a look and" 71
"a look around" 57
"a look at" 906
"a look of" 54
"a loss for" 74
"a loss of" 91
"a loss to" 53
"a lot about" 520
"a lot and" 341
"a lot at" 59
"a lot better" 325
"a lot but" 258
"a lot easier" 154
"a lot for" 180
"a lot from" 140
"a lot going" 122
"a lot has" 73
"a lot i" 354
"a lot if" 75
"a lot in" 261
"a lot lately" 121
"a lot less" 174
"a lot like" 359
"a lot longer" 57
"a lot more" 1216
"a lot na" 102
"a lot of" 13859
"a lot on" 171
"a lot so" 105
"a lot that" 59
"a lot the" 84
"a lot this" 74
"a lot to" 926
"a lot too" 51
"a lot when" 67
"a lot with" 68
"a love for" 64
"a love hate" 75
"a love of" 80
"a love song" 76
"a love story" 67
"a loved one" 111
"a lovely day" 219
"a lovely time" 52
"a lovely weekend" 91
"a lover of" 55
"a m a" 64
"a m and" 140
"a m i" 85
"a m on" 94
"a m p" 165
"a m the" 63
"a m to" 245
"a majority of" 127
"a man a" 66
"a man and" 218
"a man can" 78
"a man i" 94
"a man in" 209
"a man is" 191
"a man named" 59
"a man of" 241
"a man on" 77
"a man or" 68
"a man that" 101
"a man to" 158
"a man was" 62
"a man who" 607
"a man with" 206
"a martha stewart" 52
"a master of" 63
"a matter of" 992
"a maximum of" 59
"a means of" 97
"a means to" 89
"a measure of" 76
"a medium bowl" 104
"a meeting at" 58
"a meeting with" 142
"a member of" 783
"a merry christmas" 91
"a mess i" 59
"a mess of" 54
"a message from" 87
"a message on" 75
"a message that" 58
"a message to" 94
"a metaphor for" 53
"a mi run" 283
"a middle aged" 70
"a mile away" 79
"a mile in" 53
"a mile run" 52
"a million bucks" 52
"a million dollars" 96
"a million times" 147
"a million years" 90
"a mind of" 58
"a minimum of" 145
"a minute and" 97
"a minute i" 85
"a minute or" 121
"a minute to" 142
"a mission to" 122
"a mix of" 321
"a mixing bowl" 66
"a mixture of" 215
"a model for" 53
"a modern day" 56
"a moment and" 111
"a moment i" 75
"a moment in" 52
"a moment of" 205
"a moment to" 303
"a month ago" 288
"a month and" 195
"a month away" 57
"a month before" 51
"a month for" 68
"a month i" 112
"a month in" 56
"a month later" 58
"a month now" 72
"a month of" 84
"a month old" 73
"a month or" 179
"a month since" 58
"a month to" 127
"a morning person" 93
"a mother's day" 79
"a mother and" 75
"a mother of" 53
"a mountain of" 51
"a movie about" 109
"a movie and" 95
"a movie i" 85
"a movie in" 59
"a movie on" 51
"a movie or" 61
"a movie that" 100
"a movie with" 110
"a much better" 263
"a much larger" 52
"a much more" 194
"a much needed" 195
"a multitude of" 106
"a music video" 179
"a must for" 69
"a must have" 116
"a must read" 102
"a must see" 135
"a myriad of" 57
"a na na" 93
"a name for" 118
"a nap and" 82
"a nap i" 66
"a nap in" 62
"a need for" 98
"a need to" 128
"a network of" 70
"a never ending" 57
"a new album" 132
"a new and" 98
"a new baby" 69
"a new beginning" 90
"a new blog" 144
"a new book" 180
"a new camera" 54
"a new car" 176
"a new challenge" 104
"a new chapter" 66
"a new client" 64
"a new computer" 68
"a new day" 262
"a new favorite" 53
"a new follower" 75
"a new friend" 109
"a new generation" 66
"a new home" 138
"a new house" 52
"a new idea" 70
"a new job" 306
"a new laptop" 54
"a new level" 69
"a new life" 116
"a new look" 93
"a new name" 54
"a new one" 626
"a new pair" 122
"a new phone" 263
"a new place" 120
"a new post" 58
"a new project" 132
"a new record" 60
"a new season" 52
"a new series" 65
"a new server" 81
"a new set" 76
"a new show" 54
"a new song" 272
"a new study" 65
"a new twitter" 118
"a new video" 102
"a new way" 133
"a new website" 75
"a new week" 71
"a new word" 57
"a new world" 72
"a new year" 180
"a new york" 142
"a news conference" 75
"a nice change" 65
"a nice day" 415
"a nice dinner" 53
"a nice guy" 89
"a nice little" 144
"a nice long" 80
"a nice person" 55
"a nice place" 60
"a nice surprise" 75
"a nice time" 58
"a nice touch" 55
"a nice way" 94
"a nice weekend" 111
"a night in" 55
"a night of" 181
"a night out" 104
"a night to" 55
"a no brainer" 114
"a no hitter" 62
"a no no" 71
"a nod to" 61
"a non profit" 118
"a normal person" 51
"a not so" 85
"a note of" 52
"a note to" 83
"a number of" 1372
"a nursing home" 55
"a of a" 296
"a of the" 64
"a of time" 55
"a on a" 51
"a on my" 93
"a on the" 167
"a once in" 53
"a one day" 62
"a one of" 65
"a one time" 87
"a one way" 70
"a one year" 80
"a or a" 83
"a out of" 72
"a pace of" 71
"a pack of" 289
"a package of" 97
"a pain in" 167
"a pair of" 1239
"a panel of" 55
"a paper on" 54
"a paper towel" 69
"a parking lot" 110
"a part in" 87
"a part of" 2098
"a part time" 136
"a party and" 76
"a party at" 59
"a party for" 69
"a party in" 87
"a passion for" 109
"a path to" 57
"a peek at" 104
"a percentage of" 51
"a perfect day" 176
"a perfect example" 81
"a perfect fit" 77
"a perfect game" 61
"a perfect world" 63
"a person and" 66
"a person can" 99
"a person i" 55
"a person in" 68
"a person is" 113
"a person of" 60
"a person that" 86
"a person to" 91
"a person who" 344
"a person with" 98
"a personal trainer" 59
"a phone call" 277
"a photo of" 467
"a photo with" 52
"a photograph of" 53
"a pic of" 492
"a pic with" 54
"a picture and" 75
"a picture i" 53
"a picture in" 54
"a picture of" 1325
"a picture with" 126
"a piece of" 1470
"a pile of" 255
"a pinch of" 107
"a pint of" 153
"a place called" 75
"a place for" 227
"a place i" 71
"a place in" 199
"a place of" 200
"a place that" 190
"a place to" 556
"a place where" 358
"a place with" 51
"a plan for" 147
"a plan i" 55
"a plan to" 187
"a plane to" 72
"a plastic bag" 75
"a plate of" 84
"a playoff game" 80
"a pleasant surprise" 53
"a pleasure to" 256
"a plethora of" 76
"a point in" 57
"a point of" 136
"a point to" 112
"a point where" 109
"a police officer" 137
"a pool of" 61
"a pop up" 52
"a portion of" 189
"a position to" 112
"a positive attitude" 69
"a positive note" 61
"a post about" 146
"a post on" 129
"a pound of" 84
"a prayer for" 93
"a press conference" 90
"a press release" 106
"a pretty awesome" 52
"a pretty big" 91
"a pretty cool" 86
"a pretty face" 53
"a pretty good" 509
"a preview of" 83
"a problem and" 55
"a problem for" 75
"a problem i" 92
"a problem in" 58
"a problem that" 52
"a problem with" 346
"a process of" 59
"a product of" 117
"a productive day" 136
"a program that" 53
"a project for" 68
"a project i" 56
"a project that" 72
"a project to" 51
"a public place" 51
"a q a" 63
"a qr code" 52
"a quarter of" 134
"a question about" 99
"a question and" 64
"a question for" 120
"a question i" 51
"a question of" 107
"a question that" 59
"a quick and" 93
"a quick post" 64
"a quick trip" 62
"a quote from" 98
"a rainy day" 148
"a range of" 235
"a real estate" 95
"a real good" 65
"a real job" 68
"a real life" 94
"a real man" 136
"a real person" 82
"a real treat" 56
"a reality show" 91
"a really bad" 123
"a really big" 76
"a really cool" 128
"a really fun" 95
"a really good" 604
"a really great" 198
"a really interesting" 55
"a really long" 113
"a really nice" 182
"a reason for" 109
"a reason i" 97
"a reason to" 344
"a reason why" 105
"a recent study" 53
"a recipe for" 172
"a record for" 51
"a record of" 90
"a red light" 75
"a reference to" 88
"a reflection of" 124
"a regular basis" 260
"a relationship is" 66
"a relationship with" 167
"a reminder of" 106
"a reminder that" 147
"a reminder to" 68
"a repeat of" 68
"a report on" 56
"a reputation for" 63
"a request for" 71
"a response to" 75
"a result i" 60
"a result of" 597
"a result the" 63
"a return to" 100
"a review of" 154
"a ride home" 52
"a ride on" 54
"a ride to" 89
"a right to" 178
"a road trip" 170
"a rock star" 125
"a role in" 137
"a role model" 81
"a roll of" 52
"a roller coaster" 94
"a room and" 56
"a room full" 115
"a room with" 104
"a rough day" 67
"a round of" 94
"a row and" 73
"a row i" 89
"a row of" 72
"a run for" 101
"a run in" 85
"a run to" 60
"a s o" 123
"a sad day" 120
"a safe and" 265
"a safe flight" 71
"a safe place" 69
"a safe trip" 143
"a sample of" 87
"a saturday morning" 61
"a saturday night" 141
"a scale of" 94
"a scary movie" 54
"a school night" 57
"a screening of" 65
"a sea of" 107
"a seattle tour" 60
"a second and" 63
"a second chance" 121
"a second i" 98
"a second time" 132
"a second to" 72
"a section of" 59
"a selection of" 138
"a sense of" 811
"a separate bowl" 84
"a sequel to" 56
"a series of" 972
"a set of" 428
"a shame that" 111
"a share of" 57
"a sheet of" 96
"a shirt that" 57
"a short film" 68
"a short story" 107
"a short time" 180
"a short while" 86
"a shot at" 135
"a shot for" 59
"a shot of" 218
"a shout out" 697
"a shoutout to" 80
"a show about" 51
"a show and" 56
"a show at" 107
"a show for" 59
"a show i" 61
"a show in" 121
"a show of" 62
"a show on" 98
"a show with" 62
"a shower and" 92
"a side note" 126
"a side of" 171
"a sigh of" 53
"a sign of" 254
"a sign that" 211
"a single day" 56
"a single one" 58
"a single thing" 52
"a single word" 57
"a situation where" 57
"a six pack" 91
"a slew of" 76
"a slice of" 209
"a slightly different" 52
"a small amount" 170
"a small bowl" 188
"a small business" 74
"a small but" 56
"a small child" 64
"a small group" 110
"a small number" 61
"a small part" 78
"a small piece" 52
"a small saucepan" 79
"a small town" 194
"a small world" 83
"a smart phone" 71
"a smile and" 65
"a smile is" 57
"a smile on" 328
"a smile to" 80
"a sneak peak" 62
"a sneak peek" 115
"a snow day" 59
"a social media" 216
"a society that" 53
"a soft spot" 69
"a solution to" 56
"a song about" 107
"a song and" 71
"a song called" 68
"a song for" 86
"a song i" 93
"a song that" 115
"a song to" 51
"a song with" 94
"a sore throat" 81
"a sort of" 342
"a source of" 162
"a special day" 73
"a special place" 136
"a special thanks" 65
"a special treat" 51
"a speedy recovery" 74
"a splash of" 84
"a spokesman for" 99
"a spokeswoman for" 51
"a spot in" 75
"a spot on" 65
"a square foot" 60
"a stack of" 135
"a stand mixer" 65
"a standing ovation" 73
"a starting point" 52
"a state of" 303
"a statement that" 60
"a stay at" 104
"a step back" 98
"a step in" 53
"a stop at" 52
"a story about" 257
"a story and" 89
"a story for" 77
"a story i" 58
"a story of" 136
"a story on" 104
"a story that" 103
"a story to" 74
"a straight face" 69
"a straight line" 61
"a straight up" 65
"a string of" 125
"a strip club" 69
"a strip of" 70
"a student at" 61
"a study of" 60
"a sudden i" 51
"a sunday morning" 60
"a sunny day" 86
"a super bowl" 106
"a surprise to" 57
"a sweet little" 62
"a symbol of" 107
"a system of" 58
"a system that" 53
"a t shirt" 243
"a tablespoon of" 56
"a tad bit" 74
"a tale of" 74
"a tank top" 52
"a taste for" 71
"a taste of" 207
"a tea party" 57
"a team and" 55
"a team of" 152
"a team that" 112
"a teaspoon of" 51
"a tendency to" 115
"a testament to" 64
"a text from" 111
"a text message" 92
"a thank you" 278
"a thanks for" 89
"a thing about" 51
"a thing as" 123
"a thing for" 131
"a thing i" 71
"a thing of" 117
"a thing or" 112
"a thing that" 52
"a thing to" 82
"a third of" 148
"a third party" 62
"a this is" 58
"a thousand miles" 65
"a thousand times" 86
"a thousand words" 71
"a thousand years" 62
"a threat to" 117
"a three day" 72
"a three year" 81
"a ticket for" 85
"a ticket to" 112
"a time and" 209
"a time but" 56
"a time for" 122
"a time i" 159
"a time in" 136
"a time machine" 88
"a time na" 57
"a time of" 366
"a time out" 53
"a time that" 64
"a time the" 51
"a time to" 272
"a time until" 51
"a time when" 477
"a tiny bit" 149
"a tiny little" 59
"a to do" 52
"a to the" 95
"a to z" 118
"a ton of" 1182
"a tool to" 59
"a total of" 475
"a totally different" 78
"a touch of" 283
"a tough one" 94
"a tough time" 68
"a tour of" 185
"a treat to" 64
"a tree and" 60
"a tree in" 54
"a trending topic" 88
"a tribute to" 136
"a trio of" 51
"a trip to" 842
"a true friend" 101
"a true story" 96
"a try and" 58
"a try i" 61
"a tv show" 151
"a tweet from" 181
"a twitter account" 185
"a two day" 51
"a two hour" 72
"a two week" 63
"a two year" 127
"a type of" 137
"a u s" 195
"a variety of" 912
"a version of" 98
"a very bad" 66
"a very big" 105
"a very busy" 111
"a very cool" 75
"a very different" 99
"a very difficult" 69
"a very exciting" 55
"a very fun" 54
"a very good" 660
"a very happy" 404
"a very hard" 52
"a very high" 59
"a very important" 167
"a very interesting" 159
"a very large" 116
"a very long" 392
"a very merry" 91
"a very nice" 287
"a very real" 54
"a very short" 87
"a very simple" 85
"a very small" 174
"a very special" 273
"a very strong" 77
"a very very" 152
"a victim of" 81
"a victory over" 51
"a video for" 77
"a video game" 110
"a video of" 231
"a video on" 69
"a view of" 79
"a vision of" 53
"a visit from" 85
"a visit to" 243
"a vote for" 52
"a wake up" 56
"a walk and" 55
"a walk in" 107
"a walk off" 55
"a walk to" 128
"a walk with" 64
"a warm welcome" 59
"a waste of" 440
"a wave of" 85
"a way for" 130
"a way i" 105
"a way of" 482
